"Location_ID","Location_ISO_Code","Location","Province","Country","Island","Area_km2","Population"
"1","ID-JK","DKI Jakarta","DKI Jakarta","Indonesia","Jawa","664.00","10846145"
"2","ID-RI","Riau","Riau","Indonesia","Sumatera","87024.00","6074100"
"3","ID-JB","Jawa Barat","Jawa Barat","Indonesia","Jawa","35378.00","45161325"
"4","ID-BT","Banten","Banten","Indonesia","Jawa","9663.00","10722374"
"5","ID-JT","Jawa Tengah","Jawa Tengah","Indonesia","Jawa","32801.00","36364072"
"6","ID-SG","Sulawesi Tenggara","Sulawesi Tenggara","Indonesia","Sulawesi","38068.00","2635461"
"7","ID-BA","Bali","Bali","Indonesia","Nusa Tenggara","5780.00","4216171"
"8","ID-KI","Kalimantan Timur","Kalimantan Timur","Indonesia","Kalimantan","129067.00","3552191"
"9","ID-YO","Daerah Istimewa Yogyakarta","Daerah Istimewa Yogyakarta","Indonesia","Jawa","3133.00","3631015"
"10","ID-SU","Sumatera Utara","Sumatera Utara","Indonesia","Sumatera","72981.00","14874889"
"11","ID-JI","Jawa Timur","Jawa Timur","Indonesia","Jawa","47803.00","40479023"
"12","ID-KR","Kepulauan Riau","Kepulauan Riau","Indonesia","Sumatera","8202.00","1929400"
"13","ID-SN","Sulawesi Selatan","Sulawesi Selatan","Indonesia","Sulawesi","46717.00","9426885"
"14","ID-JA","Jambi","Jambi","Indonesia","Sumatera","50058.00","3493357"
"15","ID-MA","Maluku","Maluku","Indonesia","Maluku","46914.00","1847097"
"16","ID-PA","Papua","Papua","Indonesia","Papua","319036.00","4340348"
"17","ID-MU","Maluku Utara","Maluku Utara","Indonesia","Maluku","31983.00","1307803"
"18","ID-SS","Sumatera Selatan","Sumatera Selatan","Indonesia","Sumatera","91592.00","8217551"
"19","ID-AC","Aceh","Aceh","Indonesia","Sumatera","57956.00","5247257"
"20","ID-KT","Kalimantan Tengah","Kalimantan Tengah","Indonesia","Kalimantan","153565.00","2570289"
"21","ID-LA","Lampung","Lampung","Indonesia","Sumatera","34624.00","9095591"
"22","ID-ST","Sulawesi Tengah","Sulawesi Tengah","Indonesia","Sulawesi","61841.00","2955567"
"23","ID-SA","Sulawesi Utara","Sulawesi Utara","Indonesia","Sulawesi","13892.00","2641884"
"24","ID-SB","Sumatera Barat","Sumatera Barat","Indonesia","Sumatera","42013.00","5519245"
"25","ID-PB","Papua Barat","Papua Barat","Indonesia","Papua","102955.00","1140701"
"26","ID-KU","Kalimantan Utara","Kalimantan Utara","Indonesia","Kalimantan","75468.00","648407"
"27","ID-SR","Sulawesi Barat","Sulawesi Barat","Indonesia","Sulawesi","16787.00","1559984"
"28","ID-KB","Kalimantan Barat","Kalimantan Barat","Indonesia","Kalimantan","147307.00","5422814"
"29","ID-KS","Kalimantan Selatan","Kalimantan Selatan","Indonesia","Kalimantan","38744.00","4023049"
"30","ID-BB","Kepulauan Bangka Belitung","Kepulauan Bangka Belitung","Indonesia","Sumatera","16424.00","1379767"
"31","ID-BE","Bengkulu","Bengkulu","Indonesia","Sumatera","19919.00","1999539"
"32","ID-NB","Nusa Tenggara Barat","Nusa Tenggara Barat","Indonesia","Nusa Tenggara","18572.00","5270247"
"33","ID-NT","Nusa Tenggara Timur","Nusa Tenggara Timur","Indonesia","Nusa Tenggara","48718.00","5411321"
"34","ID-GO","Gorontalo","Gorontalo","Indonesia","Sulawesi","11257.00","1180651"
